gene_hgnc_symbol	chromosome_name	start_position	end_position
AIF1	6	31582961	31584798
AIFM2	10	71857979	71892690
AIFM3	22	21319396	21335649
AIG1	6	143381633	143661441
AIM1	6	106959730	107018326
AIM1L	1	26648350	26680621
AIM2	1	159032274	159116886
AIMP1	4	107236701	107270383
AIMP2	7	6048876	6063465
AIP	11	67250512	67258574
AJUBA	14	23440383	23451851
AK1	9	130628759	130640022
AK2	1	33473585	33546597
AK3	9	4711155	4742043
AK4	1	65613232	65697828
AK5	1	77747736	78025651
AK6	5	68646811	68665840
AK8	9	135600965	135754164
AK9	6	109814059	110012420
AKAP1	17	55162453	55198710
AKAP10	17	19807615	19881656
AKAP11	13	42846289	42897396
AKAP12	6	151561134	151679692
AKAP13	15	85923802	86292586
AKAP3	12	4724674	4758213
AKAP5	14	64932217	64941221
AKAP6	14	32798479	33300567
AKAP7	6	131456806	131604675
AKAP8	19	15464196	15490609
AKAP8L	19	15490859	15529952
AKAP9	7	91570181	91739987
AKIP1	11	8932686	8941631
AKIRIN1	1	39456895	39471731
AKIRIN2	6	88384790	88411927
AKNA	9	117096436	117156685
AKR1A1	1	46016215	46035721
AKR1B1	7	134127102	134144036
AKR1C1	10	4934796	5025475
AKR1C2	10	5029967	5060223
AKR1C3	10	5077546	5149878
AKR1E2	10	4828821	4890254
AKR7A2	1	19630459	19638640
AKR7A3	1	19609052	19615744
AKT1	14	105235686	105262088
AKT1S1	19	50372295	50381716
AKT2	19	40736224	40791443
AKT3	1	243651535	244014381
AKTIP	16	53524952	53538323
ALAD	9	116148597	116163613
ALAS1	3	52232102	52248343
ALCAM	3	105085753	105295744
ALDH16A1	19	49956426	49974305
ALDH18A1	10	97365696	97416463
ALDH1A1	9	75515578	75695358
ALDH1A2	15	58245622	58790065
ALDH1B1	9	38392661	38398658
ALDH1L2	12	105413568	105478355
ALDH2	12	112204691	112247782
ALDH3A2	17	19551449	19580911
ALDH3B1	11	67776048	67796744
ALDH4A1	1	19197926	19229275
ALDH5A1	6	24495080	24537435
ALDH6A1	14	74523553	74551196
ALDH7A1	5	125877533	125931110
ALDH8A1	6	135238528	135271260
ALDH9A1	1	165631453	165668100
ALDOA	16	30064411	30081778
ALDOC	17	26900133	26904282
ALG1	16	5083703	5137380
ALG10	12	34175216	34182629
ALG10B	12	38710380	38717784
ALG11	13	52586534	52603800
ALG12	22	50293877	50312106
ALG14	1	95439963	95538501
ALG1L2	3	129800674	129832070
ALG2	9	101978708	101984238
ALG3	3	183960089	183967336
ALG5	13	37523912	37574398
ALG6	1	63833261	63904233
ALG8	11	77811982	77850706
ALG9	11	111652919	111742305
ALK	2	29415640	30144432
ALKBH1	14	78138747	78174363
ALKBH2	12	109525996	109531436
ALKBH3	11	43902361	43941816
ALKBH4	7	102096685	102105323
ALKBH5	17	18086392	18113268
ALKBH6	19	36500022	36505141
ALKBH7	19	6372444	6375042
ALKBH8	11	107373452	107436472
ALMS1	2	73612886	73837920
ALOX12	17	6899384	6914055
ALOX15B	17	7942335	7952452
ALOX5	10	45869661	45941561
ALOX5AP	13	31309645	31338556
ALPK1	4	113206665	113363776
ALPK2	18	56148479	56296189
ALPK3	15	85359911	85416713
ALPL	1	21835858	21904905
ALS2	2	202565277	202645912
ALS2CL	3	46710487	46735194
ALS2CR12	2	202152994	202222121
ALX4	11	44281994	44331716
ALYREF	17	79845713	79849462
AMACR	5	33986283	34008220
AMBRA1	11	46417964	46615675
AMD1	6	111195973	111216916
AMDHD1	12	96337071	96362370
AMDHD2	16	2570358	2581423
AMFR	16	56395364	56459450
AMH	19	2249308	2252072
AMICA1	11	118064455	118095809
AMIGO1	1	110046797	110052360
AMIGO2	12	47469490	47473734
AMIGO3	3	49754267	49761349
AMMECR1L	2	128619204	128643496
AMN	14	103388993	103399933
AMN1	12	31824071	31882108
AMOTL1	11	94439597	94609918
AMOTL2	3	134074716	134094321
AMPD2	1	110158726	110174673
AMPD3	11	10329860	10529126
AMPH	7	38423305	38671167
AMT	3	49454211	49460186
AMY2B	1	104096437	104122156
AMZ1	7	2719156	2815134
AMZ2	17	66243715	66253297
ANAPC1	2	112523848	112642267
ANAPC10	4	145888264	146019693
ANAPC11	17	79848666	79858867
ANAPC13	3	134196548	134205558
ANAPC15	11	71817424	71823826
ANAPC16	10	73975787	73995618
ANAPC2	9	140069236	140082989
ANAPC4	4	25378835	25420120
ANAPC5	12	121746048	121837699
ANAPC7	12	110810705	110841535
ANG	14	21152336	21167130
ANGEL1	14	77253588	77292589
ANGEL2	1	213165524	213189168
ANGPT1	8	108261721	108510283
ANGPT2	8	6357172	6420930
ANGPT4	20	853296	896977
ANGPTL1	1	178818840	178840187
ANGPTL2	9	129849611	129885162
ANGPTL3	1	63063158	63071830
ANGPTL4	19	8428173	8439257
ANGPTL6	19	10203014	10213472
ANGPTL7	1	11249398	11256038
ANK1	8	41510739	41754280
ANK2	4	113739265	114304896
ANK3	10	61786056	62493248
ANKAR	2	190539016	190625919
ANKDD1A	15	65204101	65251042
ANKDD1B	5	74907284	74967671
ANKEF1	20	9966774	10037410
ANKFY1	17	4067201	4167274
ANKH	5	14704910	14871887
ANKHD1	5	139781399	139929163
ANKIB1	7	91875548	92030698
ANKK1	11	113258513	113271140
ANKLE1	19	17392454	17398455
ANKLE2	12	133302254	133338474
ANKMY1	2	241418839	241508626
ANKMY2	7	16639401	16685442
ANKRA2	5	72848160	72861511
ANKRD1	10	92671853	92681033
ANKRD10	13	111530887	111567416
ANKRD11	16	89334038	89556969
ANKRD12	18	9136226	9285983
ANKRD13A	12	110436991	110477568
ANKRD13B	17	27916787	27941779
ANKRD13C	1	70726271	70820417
ANKRD13D	11	67056018	67069956
ANKRD16	10	5903580	5931869
ANKRD17	4	73939093	74124515
ANKRD18A	9	38540566	38620657
ANKRD20A1	HG686_PATCH	95578783	95620920
ANKRD22	10	90581889	90611575
ANKRD23	2	97490263	97523671
ANKRD24	19	4183351	4224811
ANKRD26	10	27280843	27389421
ANKRD27	19	33087913	33167503
ANKRD28	3	15708743	15901278
ANKRD29	18	21178890	21242849
ANKRD31	5	74364100	74532703
ANKRD33B	5	10564442	10650308
ANKRD34A	HG1287_PATCH	146645856	146650997
ANKRD36	2	97779233	97930258
ANKRD36B	2	98108978	98206428
ANKRD36C	2	96514587	96657541
ANKRD37	4	186317175	186321782
ANKRD39	2	97502348	97523832
ANKRD40	17	48770551	48785285
ANKRD42	11	82904781	82971736
ANKRD44	2	197831741	198175897
ANKRD46	8	101521980	101572012
ANKRD49	11	94226795	94232749
ANKRD50	4	125585207	125633887
ANKRD52	12	56631591	56652175
ANKRD53	2	71205510	71212626
ANKRD54	22	38226862	38245334
ANKRD55	5	55395507	55529186
ANKRD6	6	90142889	90343553
ANKRD61	7	6071007	6076017
ANKRD66	6	46714654	46727243
ANKRD9	14	102973179	102976136
ANKS1A	6	34857042	35059179
ANKS3	16	4746513	4784379
ANKS6	9	101493611	101559247
ANKUB1	3	149478892	149686172
ANKZF1	2	220094479	220101391
ANLN	7	36429415	36493400
ANO10	3	43396351	43733086
ANO5	11	22214722	22304903
ANO6	12	45609770	45834187
ANO7	2	242127924	242164792
ANO8	19	17434032	17445638
ANO9	11	417933	442011
ANP32A	15	69070874	69113236
ANP32B	9	100745643	100778225
ANP32E	1	150190717	150208504
ANPEP	15	90328120	90358633
ANTXR1	2	69240310	69476459
ANTXR2	4	80822303	81046608
ANXA1	9	75766673	75785309
ANXA11	10	81910645	81965328
ANXA2	15	60639333	60695082
ANXA2R	5	43039335	43043272
ANXA4	2	69871557	70053596
ANXA5	4	122589110	122618268
ANXA6	5	150480273	150537443
ANXA7	10	75134859	75173834
ANXA9	1	150954493	150968110
AOAH	7	36552456	36764154
AOC1	7	150521715	150558592
AOC2	17	40996617	41002724
AOC3	17	41003201	41010147
AOX1	2	201450591	201541787
AP1AR	4	113152893	113191203
AP1B1	22	29723669	29819168
AP1G1	16	71762913	71843104
AP1G2	14	24028774	24037279
AP1M1	19	16308389	16346160
AP1S1	7	100797678	100804877
AP1S3	2	224616403	224702744
AP2A1	19	50270225	50310370
AP2A2	11	924894	1012239
AP2B1	17	33905065	34053436
AP2M1	3	183892477	183901879
AP2S1	19	47341393	47354249
AP3B1	5	77296349	77590579
AP3B2	15	83328033	83378666
AP3D1	19	2100988	2164464
AP3M1	10	75881524	75910821
AP3M2	8	42010464	42029191
AP3S1	5	115177178	115249778
AP3S2	15	90373831	90437574
AP4B1	1	114437370	114447823
AP4E1	15	51200869	51298097
AP4M1	7	99699172	99707968
AP4S1	14	31494312	31562818
AP5B1	11	65543364	65548273
AP5M1	14	57735627	57756797
AP5S1	20	3801178	3805949
AP5Z1	7	4815253	4833943
APAF1	12	99038919	99129204
APBA1	9	72042446	72287222
APBA2	15	29129629	29410518
APBA3	19	3750817	3761697
APBB1	11	6416355	6440644
APBB1IP	10	26727132	26856732
APBB2	4	40812044	41218731
APBB3	5	139937853	139973337
APC	5	112043195	112181936
APC2	19	1446300	1473243
APCDD1	18	10454625	10489945
APCDD1L	20	57034157	57090187
APEH	3	49711435	49721396
APEX1	14	20923350	20925927
APH1A	1	150237804	150241980
APH1B	15	63568217	63601325
API5	11	43333513	43366079
APIP	11	34874641	34938046
APITD1	1	10490159	10512210
APLF	2	68694693	68858004
APLP2	11	129939732	130014699
APMAP	20	24943561	24973615
APOA1BP	1	156561554	156564091
APOA2	1	161192082	161193421
APOBEC2	6	41021043	41032250
APOBEC3A	22	39348746	39359188
APOBEC3B	22	39378352	39388809
APOBEC3C	22	39410088	39416357
APOBEC3D	22	39410368	39429281
APOBEC3F	22	39436609	39449915
APOBEC3G	22	39436924	39483748
APOBEC3H	22	39493229	39500072
APOBEC4	1	183615541	183622451
APOBR	16	28505970	28510291
APOC1	19	45417504	45422606
APOC2	19	45449243	45452822
APOE	19	45409011	45412650
APOF	12	56754353	56756607
APOL1	22	36649056	36663576
APOL2	22	36622256	36636000
APOL3	22	36536372	36562225
APOL4	22	36585172	36600886
APOL6	22	36044442	36064456
APOLD1	12	12878851	12982909
APOM	6	31620193	31625987
APOPT1	14	104029299	104073860
APP	21	27252861	27543446
APPBP2	17	58520520	58603580
APPL1	3	57261765	57307496
APPL2	12	105567074	105630016
APRT	16	88875747	88878352
APTX	9	32972604	33025166
AQP11	11	77300436	77321400
AQP12B	2	241615835	241622323
AQP3	9	33441152	33447609
AQP6	12	50360977	50370922
AQP9	15	58430368	58478110
AQR	15	35147732	35262040
ARAP1	11	72396114	72504644
ARAP2	4	35949843	36246131
ARAP3	5	141032968	141061788
ARC	8	143692405	143696833
ARCN1	11	118443105	118473748
AREG	4	75310851	75320726
AREL1	14	75120140	75179818
ARF1	1	228270361	228286912
ARF3	12	49329506	49351334
ARF4	3	57557090	57583947
ARF5	7	127228399	127231759
ARF6	14	50359810	50361490
ARFGAP1	20	61904137	61921142
ARFGAP2	11	47185848	47198676
ARFGAP3	22	43192508	43254112
ARFGEF1	8	68085747	68255912
ARFGEF2	20	47538427	47653230
ARFGEF3	6	138483058	138665800
ARFIP1	4	153701089	153839615
ARFIP2	11	6496910	6502666
ARFRP1	20	62329996	62339377
ARG2	14	68086515	68118437
ARGLU1	13	107194021	107220512
ARHGAP1	11	46698630	46722165
ARHGAP10	4	148653214	148993931
ARHGAP11A	15	32907345	32932150
ARHGAP12	10	32094365	32217742
ARHGAP15	2	143848931	144525921
ARHGAP17	16	24930706	25026987
ARHGAP18	6	129897277	130031370
ARHGAP19	10	98978996	99052413
ARHGAP20	11	110447766	110583912
ARHGAP21	10	24872538	25012597
ARHGAP22	10	49654077	49864310
ARHGAP24	4	86396267	86923823
ARHGAP25	2	68906733	69053965
ARHGAP26	5	142149949	142608576
ARHGAP27	17	43471275	43511787
ARHGAP30	1	161016736	161039760
ARHGAP31	3	119013220	119139561
ARHGAP32	11	128834955	129149219
ARHGAP33	19	36265434	36279724
ARHGAP35	19	47421933	47508334
ARHGAP39	8	145754563	145911194
ARHGAP42	11	100558384	100862668
ARHGAP44	17	12692856	12894960
ARHGAP5	14	32545320	32628934
ARHGAP9	12	57866038	57882597
ARHGDIA	17	79825597	79829282
ARHGDIB	12	15094951	15114662
ARHGEF1	19	42387228	42434302
ARHGEF10	8	1772142	1906807
ARHGEF10L	1	17866330	18024369
ARHGEF11	1	156904632	157015162
ARHGEF12	11	120207787	120360645
ARHGEF17	11	73019334	73080136
ARHGEF18	19	7459999	7537363
ARHGEF19	1	16524349	16539104
ARHGEF2	1	155916630	155976861
ARHGEF26	3	153838792	153975616
ARHGEF28	5	72921983	73237818
ARHGEF3	3	56761446	57113357
ARHGEF33	2	39117021	39202590
ARHGEF35	7	143883176	143991230
ARHGEF37	5	148931510	149014531
ARHGEF38	4	106473777	106629250
ARHGEF39	9	35658872	35675863
ARHGEF4	2	131594489	131804836
ARHGEF40	14	21538429	21558399
ARHGEF5	7	144052381	144077725
ARHGEF7	13	111766906	111958084
ARID1A	1	27022524	27108595
ARID1B	6	157099063	157531913
ARID2	12	46123448	46301823
ARID3A	19	925781	975939
ARID3B	15	74833518	74890472
ARID4A	14	58765103	58840605
ARID4B	1	235294949	235491534
ARID5A	2	97202480	97218375
ARID5B	10	63661059	63856703
ARIH1	15	72766667	72879692
ARIH2	3	48956254	49023815
ARL1	12	101786898	101801598
ARL10	5	175792471	175828866
ARL11	13	50202435	50208008
ARL13B	3	93698983	93774512
ARL14EP	11	30344598	30359774
ARL15	5	53179775	53606412
ARL16	17	79648204	79650954
ARL17A	17	44594068	44657088
ARL17B	17	44352150	44439130
ARL2	11	64781585	64789656
ARL2BP	16	57279010	57287516
ARL3	10	104433488	104474164
ARL4A	7	12726481	12730559
ARL4C	2	235401685	235405697
ARL4D	17	41476327	41478505
ARL5A	2	152645498	152685006
ARL5B	10	18948334	18970568
ARL6	3	97483365	97519953
ARL6IP1	16	18802991	18813000
ARL6IP4	12	123464607	123467456
ARL6IP5	3	69134095	69155217
ARL6IP6	2	153574407	153617767
ARL8A	1	202102532	202113869
ARL8B	3	5163905	5222596
ARMC1	8	66514694	66546442
ARMC10	7	102715328	102740205
ARMC2	6	109169619	109295186
ARMC5	16	31469401	31478487
ARMC6	19	19144384	19170563
ARMC7	17	73106047	73126360
ARMC8	3	137906109	138017231
ARMC9	2	232063260	232239548
ARMT1	6	151773422	151791236
ARNT	1	150782181	150849244
ARNT2	15	80696692	80890278
ARNTL	11	13298199	13408813
ARNTL2	12	27485787	27576241
ARPC1A	7	98923521	98985787
ARPC1B	7	98971872	98992424
ARPC2	2	219081817	219119079
ARPC3	12	110872630	110888227
ARPC4	3	9834179	9849410
ARPC5	1	183592401	183604892
ARPC5L	9	127624409	127640003
ARPIN	15	90443159	90456188
ARPP19	15	52839242	52862080
ARRB1	11	74975226	75062873
ARRB2	17	4613784	4624794
ARRDC1	9	140500106	140509812
ARRDC2	19	18111941	18124911
ARRDC3	5	90664541	90679176
ARRDC4	15	98462784	98517068
ARRDC5	19	4890449	4902879
ARSA	22	51061182	51066607
ARSB	5	78073032	78281910
ARSG	17	66255323	66418872
ARSK	5	94890778	94940768
ART4	12	14978503	14996429
ARV1	1	231114727	231136341
ARVCF	22	19957419	20004331
AS3MT	10	104629273	104661656
ASAH1	8	17913934	17942494
ASAH2	10	51942538	52008370
ASAH2B	10	52499078	52576255
ASAP1	8	131064353	131455906
ASAP2	2	9346894	9545812
ASAP3	1	23755056	23811061
ASB1	2	239335383	239360891
ASB13	10	5680830	5708558
ASB14	3	57302375	57326710
ASB16	17	42247815	42256451
ASB2	14	94400499	94443137
ASB3	2	53759810	54087170
ASB6	9	132399171	132404444
ASB7	15	101142739	101191910
ASB8	12	48541571	48574996
ASCC1	10	73856278	73976892
ASCC2	22	30184597	30234271
ASCC3	6	100956070	101329248
ASCL2	11	2289725	2292182
ASF1A	6	119215384	119230332
ASF1B	19	14230321	14247768
ASGR1	17	7076750	7082883
ASGR2	17	7004641	7019019
ASH1L	1	155305059	155532598
ASH2L	8	37962760	38001594
ASIC1	12	50451331	50477394
ASIC2	17	31340105	32501983
ASIC3	7	150745379	150749843
ASL	7	65540785	65558545
ASNA1	19	12847953	12859137
ASNS	7	97481430	97501854
ASNSD1	2	190526111	190535557
ASPH	8	62413116	62627155
ASPHD1	16	29911696	29931185
ASPHD2	22	26825239	26840981
ASPM	1	197053258	197115824
ASPN	9	95218487	95244788
ASPRV1	2	70187226	70189397
ASPSCR1	17	79934683	79975282
ASRGL1	11	62104920	62160882
ASTE1	3	130732719	130746493
ASTL	2	96789589	96804175
ASTN2	9	119187504	120177348
ASUN	12	27058114	27091259
ASXL1	20	30946155	31027122
ASXL2	2	25956622	26101385
ATAD1	10	89511269	89601100
ATAD2	8	124332090	124428590
ATAD2B	2	23971534	24149984
ATAD3A	1	1447531	1470067
ATAD3B	1	1407143	1433228
ATAD3C	1	1385069	1405538
ATAD5	17	29158988	29222887
ATAT1	6	30594619	30614600
ATE1	10	123499939	123688316
ATF1	12	51157493	51214905
ATF2	2	175936978	176033110
ATF3	1	212738676	212794119
ATF4	22	39915700	39918691
ATF5	19	50431959	50437192
ATF6	1	161736084	161933860
ATF6B	6	32065953	32096030
ATF7	12	53901640	54020199
ATF7IP	12	14518610	14651697
ATF7IP2	16	10420291	10577495
ATG10	5	81267844	81572676
ATG101	12	52463030	52471278
ATG12	5	115163893	115177555
ATG13	11	46638826	46696368
